step,new_task,epochs_run,task,r2,mae,samples,primary,points,accuracy,macro_f1
18,dos_density,63,final_energy,0.36376052474170717,0.5421821726829587,5386,0.36376052474170717,,,
18,dos_density,63,total_magnetization,0.3281273250187089,0.5508651642396603,5386,0.3281273250187089,,,
18,dos_density,63,volume,0.28008596399256636,0.6953602695752482,5386,0.28008596399256636,,,
18,dos_density,63,dielectric_total,0.5914202626630173,0.4622984545141451,815,0.5914202626630173,,,
18,dos_density,63,dielectric_ionic,0.5469284309998255,0.49068296748608425,815,0.5469284309998255,,,
18,dos_density,63,dielectric_electronic,0.7817733168322493,0.28000622626940996,815,0.7817733168322493,,,
18,dos_density,63,magnetization,0.6717128824349753,0.4085574316683813,244,0.6717128824349753,,,
18,dos_density,63,curie,0.5991805837476937,0.4415659214726106,1424,0.5991805837476937,,,
18,dos_density,63,neel,0.5648467900094504,0.4678464805615474,857,0.5648467900094504,,,
18,dos_density,63,kp,0.5042137814287473,0.4991666604293324,1045,0.5042137814287473,,,
18,dos_density,63,magnetic_susceptibility,-0.05680561764622216,0.3703795702779732,20,-0.05680561764622216,6000.0,,
18,dos_density,63,zt,0.577986531665047,0.4812619168462651,774,0.577986531665047,232200.0,,
18,dos_density,63,power_factor,0.5758573718611897,0.4755836081231304,802,0.5758573718611897,240600.0,,
18,dos_density,63,thermal_conductivity,0.5507180874961021,0.47579593760423133,937,0.5507180874961021,281100.0,,
18,dos_density,63,electrical_resistivity,0.06685406843201258,0.4244386544901321,1105,0.06685406843201258,331500.0,,
18,dos_density,63,dos_density,0.5218357268111742,0.1251788400320126,1714,0.5218357268111742,514200.0,,
19,seebeck,36,density,0.9602701657045888,0.14879826820738987,5386,0.9602701657045888,,,
19,seebeck,36,efermi,0.8540896060534231,0.2837423417632792,5384,0.8540896060534231,,,
19,seebeck,36,final_energy,0.37598127751145094,0.542218329385524,5386,0.37598127751145094,,,
19,seebeck,36,total_magnetization,0.30946021378181376,0.5661746081712449,5386,0.30946021378181376,,,
19,seebeck,36,volume,0.2738155485919308,0.6950920326365134,5386,0.2738155485919308,,,
19,seebeck,36,dielectric_total,0.5833530269416691,0.46817510142179575,815,0.5833530269416691,,,
19,seebeck,36,dielectric_ionic,0.5472119096171886,0.5018976738371737,815,0.5472119096171886,,,
19,seebeck,36,dielectric_electronic,0.7847395809725622,0.28780062770100634,815,0.7847395809725622,,,
19,seebeck,36,magnetization,0.7079418071532804,0.3741044412324458,244,0.7079418071532804,,,
19,seebeck,36,curie,0.6228540664872452,0.4266967316342762,1424,0.6228540664872452,,,
19,seebeck,36,neel,0.5436898109818141,0.48796599032941024,857,0.5436898109818141,,,
19,seebeck,36,kp,0.5072654854748788,0.5030965955844249,1045,0.5072654854748788,,,
19,seebeck,36,magnetic_susceptibility,-0.0018749244744364901,0.33969674273007056,20,-0.0018749244744364901,6000.0,,
19,seebeck,36,zt,0.539237457810943,0.507757091686556,774,0.539237457810943,232200.0,,
19,seebeck,36,power_factor,0.575618323942098,0.4747413565758451,802,0.575618323942098,240600.0,,
19,seebeck,36,thermal_conductivity,0.5657178048184252,0.480198375059842,937,0.5657178048184252,281100.0,,
19,seebeck,36,electrical_resistivity,0.04162029134437906,0.4596876613041554,1105,0.04162029134437906,331500.0,,
19,seebeck,36,dos_density,0.4428286614107563,0.1361096742827412,1714,0.4428286614107563,514200.0,,
19,seebeck,36,seebeck,0.5562629956882509,0.4430094356890465,1856,0.5562629956882509,556800.0,,
20,formation_energy,28,density,0.9590141621786539,0.1510342321356916,5386,0.9590141621786539,,,
20,formation_energy,28,efermi,0.8563638389875893,0.27853070938847646,5384,0.8563638389875893,,,
20,formation_energy,28,final_energy,0.3534800932207349,0.5521266570366189,5386,0.3534800932207349,,,
20,formation_energy,28,total_magnetization,0.4280032056657802,0.48597579049631573,5386,0.4280032056657802,,,
20,formation_energy,28,volume,0.28733785458355454,0.687157201007108,5386,0.28733785458355454,,,
20,formation_energy,28,dielectric_total,0.5833149954179657,0.485614018096063,815,0.5833149954179657,,,
20,formation_energy,28,dielectric_ionic,0.5394596318210206,0.499065949744712,815,0.5394596318210206,,,
20,formation_energy,28,dielectric_electronic,0.7892960591828646,0.2761793706429681,815,0.7892960591828646,,,
20,formation_energy,28,magnetization,0.6946629293183371,0.38266061596403933,244,0.6946629293183371,,,
20,formation_energy,28,curie,0.597211782674649,0.4502362566855479,1424,0.597211782674649,,,
20,formation_energy,28,neel,0.5435639217826445,0.48549067960634407,857,0.5435639217826445,,,
20,formation_energy,28,kp,0.5129310844089298,0.4942583655579198,1045,0.5129310844089298,,,
20,formation_energy,28,magnetic_susceptibility,-0.00508009103722129,0.3531310094316589,20,-0.00508009103722129,6000.0,,
20,formation_energy,28,zt,0.5756033930528975,0.49118739453227034,774,0.5756033930528975,232200.0,,
20,formation_energy,28,power_factor,0.5745666185558755,0.479077883068058,802,0.5745666185558755,240600.0,,
20,formation_energy,28,thermal_conductivity,0.5543271041118736,0.4821138713378572,937,0.5543271041118736,281100.0,,
20,formation_energy,28,electrical_resistivity,0.05058597705867918,0.43457328461135725,1105,0.05058597705867918,331500.0,,
20,formation_energy,28,dos_density,0.4456159627161089,0.13524315236782689,1714,0.4456159627161089,514200.0,,
20,formation_energy,28,seebeck,0.3548738034866523,0.5655624573346029,1856,0.3548738034866523,556800.0,,
20,formation_energy,28,formation_energy,0.9502591054431425,0.16815750142435684,5386,0.9502591054431425,,,
21,magnetic_moment,32,density,0.9590597183522166,0.15170563182149482,5386,0.9590597183522166,,,
21,magnetic_moment,32,efermi,0.8536229271169216,0.2835514976991335,5384,0.8536229271169216,,,
21,magnetic_moment,32,final_energy,0.375830593020936,0.5725977249259697,5386,0.375830593020936,,,
21,magnetic_moment,32,total_magnetization,0.42767370001245697,0.5112410726381786,5386,0.42767370001245697,,,
21,magnetic_moment,32,volume,0.32030897275391224,0.6815118779076678,5386,0.32030897275391224,,,
21,magnetic_moment,32,dielectric_total,0.5954000157511765,0.4879903813752291,815,0.5954000157511765,,,
21,magnetic_moment,32,dielectric_ionic,0.5329529049160139,0.5124582799248065,815,0.5329529049160139,,,
